time,seconds_elapsed,Acc z,Acc y,Acc x,time,seconds_elapsed,gyro_z,gyro_y,gyro_x
1.71507E+18,0.476824219,0.506056786,0.169314861,0.059376467,1.71507E+18,0.479659912,0.002443461,0.04390594,0.007330383
1.71507E+18,0.486824219,0.326938629,0.087051392,0.05983495,1.71507E+18,0.489659912,0.002443461,0.031688634,0.045814894
1.71507E+18,0.49682373,0.034490585,0.030313969,0.018586408,1.71507E+18,0.499659424,0.006108652,0.014584408,0.082466811
1.71507E+18,0.50682373,-0.232439041,0.02308321,0.040454909,1.71507E+18,0.509659668,0.009162978,-0.000687223,0.106901415
1.71507E+18,0.51682373,-0.40489006,0.032797813,0.070482306,1.71507E+18,0.519659424,0.006719518,-0.016569721,0.108734012
1.71507E+18,0.52682373,-0.371265411,0.085273266,0.005864948,1.71507E+18,0.529659668,0.001832596,-0.023289237,0.0842994
1.71507E+18,0.53682373,-0.206923485,0.17320776,-0.066181615,1.71507E+18,0.539659424,0.002443461,-0.010461068,0.047647487
1.71507E+18,0.546823975,0.027775764,0.276046753,-0.120223299,1.71507E+18,0.549659668,0.006719518,0.00786489,0.003665192
1.71507E+18,0.55682373,0.334988594,0.315256119,-0.148670226,1.71507E+18,0.559659424,0.007330383,0.025579982,-0.036651913
1.71507E+18,0.56682373,0.566331863,0.321843147,-0.146544322,1.71507E+18,0.569659424,0.004886922,0.042073343,-0.058643065
1.71507E+18,0.57682373,0.693739891,0.237030029,-0.164160997,1.71507E+18,0.579659424,0.004276057,0.050014593,-0.054367006
1.71507E+18,0.58682373,0.636680603,0.147670269,-0.185792029,1.71507E+18,0.589659668,0.004886922,0.045738537,-0.018936822
1.71507E+18,0.596824463,0.401394844,0.060446739,-0.193408132,1.71507E+18,0.5996604,0.012217305,0.023747386,0.033597589
1.71507E+18,0.606824463,0.058172226,-0.0024333,-0.133636385,1.71507E+18,0.609660156,0.017104227,-0.010461068,0.08857546
1.71507E+18,0.616824219,-0.256369591,-0.065218449,-0.076816618,1.71507E+18,0.619659912,0.015882496,-0.038560867,0.124616511
1.71507E+18,0.626824463,-0.250920296,-0.076035023,-0.079693928,1.71507E+18,0.629660156,0.015271631,-0.058719423,0.135001212
1.71507E+18,0.636824219,-0.618419647,0.027004242,-0.041410673,1.71507E+18,0.639659912,0.019547688,-0.061162882,0.115453534
1.71507E+18,0.646824463,-0.613089561,0.016466141,-0.046636224,1.71507E+18,0.649660156,0.025045475,-0.039782599,0.071471237
1.71507E+18,0.656824219,-0.369969368,0.200705051,-0.076480009,1.71507E+18,0.659659912,0.031764992,-0.00496328,0.016493361
